Héroes del Silencio - Mar adentro;slctnzJ2dzA
La Unión - Maracaibo;F4ES9Lqq2hA
La Unión - Blues;tvYWpBN6yRg
La Unión - Más y más;HpmDuB7e0DA
La Unión - Vivir al Este del Edén;XeYaHCub5uE
La Unión - Natalia;H4lEpC1GcG4
El Último de la Fila - Ya no danzo al son de los tambores;rc9FQiSEQvY
El Último de la Fila - Sara;s_5oi7GforQ
El Último de la Fila - A veces se enciende;u2E2H4IRavk
El Último de la Fila - Llanto de pasión;APDSxLFBVuw
El Último de la Fila - En los árboles;5h9KdzhMc5Y
Mecano - Mujer contra mujer;wVSA2CEIQ7U
Mecano - No hay marcha en Nueva York;yhBHCRUpR1k
Mecano - La Fuerza del Destino;_mAmEKNqg1g
Mecano - Los amantes;yc0FnafjV4g
Los Inhumanos - Me duele la cara de ser tan guapo;bLt5nn0kNKQ
Los Rebeldes - Mediterráneo;1Hn3PSvU0ic
Danza invisible - Sabor de amor;fQPiDH9RNJ8
